index,open,high,low,close,volume
20250109,148300,151800,145000,146700,78717
20250108,144800,148900,143500,148300,143713
20250107,147100,149800,145200,146600,150558
20250106,140100,147900,139100,146000,278596
20250103,134100,141500,133000,138300,227422
20250102,132900,135400,131200,134100,168708
20241230,120500,136500,118100,132900,413120
20241227,124000,126100,117500,120500,317114
20241226,133200,135200,124000,124800,287487
20241224,136000,138900,133000,133000,267618
20241223,128000,136000,122600,134400,393993
20241220,131100,131500,124300,126200,246008
20241219,128100,133000,127700,130100,189160
20241218,131000,134800,130600,132300,177091
20241217,135900,136100,129500,131500,256791
20241216,136100,137500,134200,135800,275602
20241213,148000,148000,133500,136200,919038
20241212,145700,153900,141400,148900,424705
20241211,147600,154200,141100,143600,286940
20241210,147100,151700,142900,146200,323561
20241209,151900,154500,143800,145400,304473
20241206,158700,163900,151000,157600,323409
20241205,169500,175700,157300,158700,333559
20241204,171000,179900,163800,167800,724635
20241203,144000,172500,144000,171700,1038590
20241202,132900,152100,130400,143000,686756
20241129,133000,133000,122300,127200,187306
20241128,135000,137800,131800,133400,131605
20241127,136700,140000,131400,134200,206425
20241126,146300,147000,136700,136700,256254
20241125,139700,147900,130000,146300,448245
20241122,142300,146700,139500,140700,144597
20241121,139400,143200,137500,140900,147877
20241120,138200,143200,136100,139600,141051
20241119,131900,141200,129000,140900,231660
20241118,135200,138800,130000,133900,188952
20241115,117900,139200,108000,134000,723833
20241114,139400,142000,130300,130300,291310
20241113,147400,149700,138000,138000,294143
20241112,150700,155700,143700,152300,301668
20241111,160300,162000,149400,151600,250923
20241108,160600,164500,158700,159600,188247
20241107,160000,166500,156800,157400,427998
20241106,173500,173500,173500,173500,0
20241105,181000,181100,173400,173500,154988
20241104,171100,181200,169400,180500,262968
20241101,169000,172100,167600,169300,626803
20241031,171100,175200,166500,174800,167693
20241030,177700,179700,172600,173900,143630
20241029,183600,183600,175400,180900,147983
20241028,180500,186400,179700,183600,133821
20241025,184300,186700,179400,180400,95819
20241024,189000,189000,179200,179300,131719
20241023,176000,184300,172400,183000,169537
20241022,187000,187000,176000,176100,168734
20241021,181000,187000,178800,185700,140704
20241018,185100,188200,179600,180000,185568
20241017,189000,193200,185500,186000,134318
20241016,194900,196000,188600,189400,153975
20241015,198500,205500,189000,191600,302413
20241014,199600,203500,195500,196500,219041
20241011,212500,219500,202000,205000,270276
20241010,208500,217500,206000,212500,302386
20241008,200000,206500,198200,204000,190701
20241007,200000,208000,198300,203500,251074
20241004,186100,202500,181900,197000,461317
20241002,177400,192100,177000,186100,331579
20240930,203500,204500,178800,181800,820096
20240927,205500,207000,200000,203500,150220
20240926,198100,209000,197000,205000,246386
20240925,201000,203500,196800,198000,243972
20240924,185600,208500,184300,200500,598390
20240923,180000,187500,176600,183600,227901
20240920,183900,184200,177400,179000,195901
20240919,187600,187800,175100,180000,235152
20240913,185800,185900,175000,183300,189802
20240912,177000,183400,173500,181500,238443
20240911,165300,175400,165100,171300,230965
20240910,163200,179500,163200,165300,266229
20240909,162700,168100,159100,163000,330635
20240906,176200,181100,165500,165500,524920
20240905,197700,199500,180000,180000,492145
20240904,199000,204500,193300,193800,273252
20240903,214500,218000,206000,206500,229843
20240902,191000,218000,186400,214500,626673
20240830,192000,198500,188800,191500,371017
20240829,181300,194200,181100,189700,251156
20240828,197100,199000,186500,186600,227580
20240827,191000,195900,186200,194000,239203
20240826,201500,202500,190200,194500,245958
20240823,202000,208500,182100,196500,408080
20240822,207000,218000,205000,205500,231031
20240821,212000,216500,207500,210000,183685
20240820,212500,217500,199800,214500,341074
20240819,220000,223500,203000,205000,491282
20240816,197600,217000,196300,211000,632097
20240814,170000,189900,168500,185000,505611
20240813,172600,172900,165800,167000,197999
20240812,160200,173000,159700,173000,305079
20240809,158300,162700,156400,161800,246804
20240808,157000,157400,149100,153600,411263
20240807,167100,170000,161300,161300,226132
20240806,166000,169900,160100,168000,296280
20240805,170000,173200,149000,156500,429529
20240802,181000,184100,173600,175900,231803
20240801,174500,186400,172000,184200,366440
20240731,166500,174500,165500,174500,288125
20240730,167300,170600,165300,166500,262028
20240729,170500,176900,166100,166700,384817
20240726,181000,182000,168000,170300,413833
20240725,175000,183800,172500,178300,339325
20240724,187700,192400,180000,181800,280442
20240723,188100,195000,187200,188800,291457
20240722,192000,199300,183100,185900,515552
20240719,185000,196900,182500,190900,786260
20240718,178200,188900,171200,179800,884460
20240717,181900,204500,178500,184800,1225136
20240716,193700,193700,181100,185200,859468
20240715,197300,202000,188000,193800,695650
20240712,202000,214500,199900,203000,436774
20240711,214000,216500,206000,206000,355914
20240710,216000,218500,212000,214000,308167
20240709,229500,235500,218000,220500,260898
20240708,225500,232500,224000,227000,216074
20240705,232500,236000,227000,230000,240871
20240704,235000,247000,229500,237000,326589
20240703,244500,247500,233000,236500,322008
20240702,247000,258500,239000,243000,481140
20240701,220000,242000,220000,241500,331382
20240628,233000,239500,222000,225000,309148
20240627,219000,241000,211000,233500,787554
20240626,227500,228000,208500,215500,691507
20240625,231500,239500,220500,222000,600150
20240624,259000,262000,233500,236000,822864
20240621,265500,277000,265000,266000,475246
